FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
73,lamar_morrow," 37,28,24,21,16,16,33,44,57,73,106,116,105,119,125,123,106,124,98,92,76,65,59,41 ","[0.296,0.224,0.192,0.168,0.128,0.128,0.264,0.352,0.456,0.584,0.848,0.928,0.84,0.952,1,0.984,0.848,0.992,0.784,0.736,0.608,0.52,0.472,0.328]",30.3439732,-97.7149658
74,lamar_oltorf," 45,24,19,11,13,19,28,30,67,84,123,135,136,125,147,144,154,135,122,110,117,84,76,68 ","[0.292207792207792,0.155844155844156,0.123376623376623,0.0714285714285714,0.0844155844155844,0.123376623376623,0.181818181818182,0.194805194805195,0.435064935064935,0.545454545454545,0.798701298701299,0.876623376623377,0.883116883116883,0.811688311688312,0.954545454545455,0.935064935064935,1,0.876623376623377,0.792207792207792,0.714285714285714,0.75974025974026,0.545454545454545,0.493506493506494,0.441558441558442]",30.2484131,-97.7699509
75,lamar_parmer," 61,51,34,39,34,33,55,110,122,186,213,226,272,256,257,237,230,247,226,219,210,181,128,87 ","[0.224264705882353,0.1875,0.125,0.143382352941176,0.125,0.121323529411765,0.202205882352941,0.404411764705882,0.448529411764706,0.683823529411765,0.783088235294118,0.830882352941177,1,0.941176470588235,0.944852941176471,0.871323529411765,0.845588235294118,0.908088235294118,0.830882352941177,0.805147058823529,0.772058823529412,0.665441176470588,0.470588235294118,0.319852941176471]",30.4078522,-97.6782227
76,lamar_payton_gin," 61,43,31,25,13,24,56,88,104,114,123,158,186,183,165,155,169,156,146,155,145,142,113,76 ","[0.327956989247312,0.231182795698925,0.166666666666667,0.134408602150538,0.0698924731182796,0.129032258064516,0.301075268817204,0.473118279569892,0.559139784946237,0.612903225806452,0.661290322580645,0.849462365591398,1,0.983870967741935,0.887096774193548,0.833333333333333,0.908602150537634,0.838709677419355,0.78494623655914,0.833333333333333,0.779569892473118,0.763440860215054,0.60752688172043,0.408602150537634]",30.3576469,-97.7001114
77,lamar_riverside," 58,26,26,9,9,17,24,38,71,88,130,156,140,189,165,163,170,159,154,133,119,90,98,72 ","[0.306878306878307,0.137566137566138,0.137566137566138,0.0476190476190476,0.0476190476190476,0.0899470899470899,0.126984126984127,0.201058201058201,0.375661375661376,0.465608465608466,0.687830687830688,0.825396825396825,0.740740740740741,1,0.873015873015873,0.862433862433862,0.899470899470899,0.841269841269841,0.814814814814815,0.703703703703704,0.62962962962963,0.476190476190476,0.518518518518518,0.380952380952381]",30.2645245,-97.757103
78,lamar_rundberg," 99,66,58,42,29,40,100,139,158,182,209,224,277,286,250,225,231,228,218,230,210,203,186,134 ","[0.346153846153846,0.230769230769231,0.202797202797203,0.146853146853147,0.101398601398601,0.13986013986014,0.34965034965035,0.486013986013986,0.552447552447552,0.636363636363636,0.730769230769231,0.783216783216783,0.968531468531469,1,0.874125874125874,0.786713286713287,0.807692307692308,0.797202797202797,0.762237762237762,0.804195804195804,0.734265734265734,0.70979020979021,0.65034965034965,0.468531468531469]",30.3631401,-97.6970215
79,lavaca_15th," 44,46,35,23,14,23,29,25,34,56,72,84,103,102,109,107,99,102,103,102,93,73,77,63 ","[0.403669724770642,0.422018348623853,0.321100917431193,0.211009174311927,0.128440366972477,0.211009174311927,0.26605504587156,0.229357798165138,0.311926605504587,0.513761467889908,0.660550458715596,0.770642201834862,0.944954128440367,0.935779816513762,1,0.981651376146789,0.908256880733945,0.935779816513762,0.944954128440367,0.935779816513762,0.853211009174312,0.669724770642202,0.706422018348624,0.577981651376147]",30.2776051,-97.7419281
80,lavaca_5th," 73,53,75,45,15,16,20,30,28,59,60,62,76,81,83,92,92,99,110,105,108,119,99,105 ","[0.613445378151261,0.445378151260504,0.630252100840336,0.378151260504202,0.126050420168067,0.134453781512605,0.168067226890756,0.252100840336134,0.235294117647059,0.495798319327731,0.504201680672269,0.521008403361345,0.638655462184874,0.680672268907563,0.697478991596639,0.773109243697479,0.773109243697479,0.831932773109244,0.92436974789916,0.882352941176471,0.907563025210084,1,0.831932773109244,0.882352941176471]",30.2677956,-97.7455444
81,lavaca_6th," 67,65,68,49,17,19,21,28,37,60,65,72,86,93,82,86,86,84,90,98,98,108,77,104 ","[0.62037037037037,0.601851851851852,0.62962962962963,0.453703703703704,0.157407407407407,0.175925925925926,0.194444444444444,0.259259259259259,0.342592592592593,0.555555555555556,0.601851851851852,0.666666666666667,0.796296296296296,0.861111111111111,0.759259259259259,0.796296296296296,0.796296296296296,0.777777777777778,0.833333333333333,0.907407407407407,0.907407407407407,1,0.712962962962963,0.962962962962963]",30.2687168,-97.7452011
82,mlk_guadalupe," 38,28,40,21,15,15,42,30,41,51,64,95,89,87,98,90,91,76,69,80,83,66,68,53 ","[0.387755102040816,0.285714285714286,0.408163265306122,0.214285714285714,0.153061224489796,0.153061224489796,0.428571428571429,0.306122448979592,0.418367346938776,0.520408163265306,0.653061224489796,0.969387755102041,0.908163265306122,0.887755102040816,1,0.918367346938776,0.928571428571429,0.775510204081633,0.704081632653061,0.816326530612245,0.846938775510204,0.673469387755102,0.693877551020408,0.540816326530612]",30.2817326,-97.7419281
83,mlk_ih35," 63,43,41,27,26,24,57,57,56,72,84,103,96,83,94,117,107,105,88,83,65,60,48,59 ","[0.538461538461538,0.367521367521368,0.35042735042735,0.230769230769231,0.222222222222222,0.205128205128205,0.487179487179487,0.487179487179487,0.478632478632479,0.615384615384615,0.717948717948718,0.88034188034188,0.82051282051282,0.709401709401709,0.803418803418803,1,0.914529914529915,0.897435897435897,0.752136752136752,0.709401709401709,0.555555555555556,0.512820512820513,0.41025641025641,0.504273504273504]",30.2785587,-97.730484
84,mlk_lavaca," 34,26,29,14,12,10,26,26,35,45,57,77,73,66,70,86,70,64,53,60,65,54,49,37 ","[0.395348837209302,0.302325581395349,0.337209302325581,0.162790697674419,0.13953488372093,0.116279069767442,0.302325581395349,0.302325581395349,0.406976744186047,0.523255813953488,0.662790697674419,0.895348837209302,0.848837209302326,0.767441860465116,0.813953488372093,1,0.813953488372093,0.744186046511628,0.616279069767442,0.697674418604651,0.755813953488372,0.627906976744186,0.569767441860465,0.430232558139535]",30.2813282,-97.740509
