FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
56,guadalupe_6th," 27,20,22,11,18,20,46,67,108,89,94,121,101,99,92,116,114,122,106,80,61,65,34,52 ","[0.221311475409836,0.163934426229508,0.180327868852459,0.0901639344262295,0.147540983606557,0.163934426229508,0.377049180327869,0.549180327868853,0.885245901639344,0.729508196721312,0.770491803278688,0.991803278688525,0.827868852459016,0.811475409836066,0.754098360655738,0.950819672131147,0.934426229508197,1,0.868852459016393,0.655737704918033,0.5,0.532786885245902,0.278688524590164,0.426229508196721]",30.2690239,-97.7462616
57,ih_35_riverside,"153,145,134,101,159,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","[0.288679245283019,0.273584905660377,0.252830188679245,0.190566037735849,0.3,0.439622641509434,0.807547169811321,0.883018867924528,0.966037735849057,0.939622641509434,0.867924528301887,0.867924528301887,0.856603773584906,0.99811320754717,1,0.983018867924528,0.945283018867925,0.930188679245283,0.918867924528302,0.890566037735849,0.607547169811321,0.509433962264151,0.507547169811321,0.462264150943396]",30.2478428,-97.7348862
58,lamar_12th," 26,14,9,7,7,16,54,105,154,147,114,149,133,150,147,153,182,148,172,104,80,71,90,41 ","[0.142857142857143,0.0769230769230769,0.0494505494505494,0.0384615384615385,0.0384615384615385,0.0879120879120879,0.296703296703297,0.576923076923077,0.846153846153846,0.807692307692308,0.626373626373626,0.818681318681319,0.730769230769231,0.824175824175824,0.807692307692308,0.840659340659341,1,0.813186813186813,0.945054945054945,0.571428571428571,0.43956043956044,0.39010989010989,0.494505494505495,0.225274725274725]",30.277359,-97.7511673
59,lamar_24th," 19,17,10,5,6,13,65,143,177,151,120,146,122,179,143,174,184,244,193,99,82,66,80,38 ","[0.0778688524590164,0.069672131147541,0.040983606557377,0.0204918032786885,0.0245901639344262,0.0532786885245902,0.266393442622951,0.586065573770492,0.725409836065574,0.618852459016393,0.491803278688525,0.598360655737705,0.5,0.733606557377049,0.586065573770492,0.713114754098361,0.754098360655738,1,0.790983606557377,0.405737704918033,0.336065573770492,0.270491803278689,0.327868852459016,0.155737704918033]",30.2885342,-97.7527695
60,lamar_29th," 15,6,3,3,2,8,38,122,155,129,132,126,130,168,137,152,200,215,160,90,68,58,69,27 ","[0.0697674418604651,0.027906976744186,0.013953488372093,0.013953488372093,0.00930232558139535,0.0372093023255814,0.176744186046512,0.567441860465116,0.720930232558139,0.6,0.613953488372093,0.586046511627907,0.604651162790698,0.781395348837209,0.637209302325581,0.706976744186047,0.930232558139535,1,0.744186046511628,0.418604651162791,0.316279069767442,0.269767441860465,0.32093023255814,0.125581395348837]",30.2981358,-97.7484741
61,lamar_38th," 22,19,9,7,15,19,92,165,232,208,216,174,197,224,208,204,229,258,199,137,112,97,77,40 ","[0.0852713178294574,0.0736434108527132,0.0348837209302326,0.0271317829457364,0.0581395348837209,0.0736434108527132,0.356589147286822,0.63953488372093,0.89922480620155,0.806201550387597,0.837209302325581,0.674418604651163,0.763565891472868,0.868217054263566,0.806201550387597,0.790697674418605,0.887596899224806,1,0.771317829457364,0.531007751937985,0.434108527131783,0.375968992248062,0.298449612403101,0.155038759689922]",30.3051968,-97.7430496
62,lamar_45th," 14,13,12,8,11,24,77,169,201,159,137,165,174,211,169,180,215,226,184,108,96,80,72,31 ","[0.0619469026548673,0.0575221238938053,0.0530973451327434,0.0353982300884956,0.0486725663716814,0.106194690265487,0.34070796460177,0.747787610619469,0.889380530973451,0.70353982300885,0.606194690265487,0.730088495575221,0.769911504424779,0.933628318584071,0.747787610619469,0.79646017699115,0.951327433628319,1,0.814159292035398,0.47787610619469,0.424778761061947,0.353982300884956,0.31858407079646,0.13716814159292]",30.3134632,-97.7375946
63,lamar_51st," 21,16,12,9,9,25,88,161,180,145,138,151,174,169,162,157,180,188,145,99,83,76,67,46 ","[0.111702127659574,0.0851063829787234,0.0638297872340425,0.0478723404255319,0.0478723404255319,0.132978723404255,0.468085106382979,0.856382978723404,0.957446808510638,0.771276595744681,0.734042553191489,0.803191489361702,0.925531914893617,0.898936170212766,0.861702127659574,0.835106382978723,0.957446808510638,1,0.771276595744681,0.526595744680851,0.441489361702128,0.404255319148936,0.356382978723404,0.24468085106383]",30.3187695,-97.7308197
64,lamar_6th," 49,30,25,11,16,35,71,150,216,194,176,172,194,218,212,202,225,194,211,154,128,128,124,81 ","[0.217777777777778,0.133333333333333,0.111111111111111,0.0488888888888889,0.0711111111111111,0.155555555555556,0.315555555555556,0.666666666666667,0.96,0.862222222222222,0.782222222222222,0.764444444444444,0.862222222222222,0.968888888888889,0.942222222222222,0.897777777777778,1,0.862222222222222,0.937777777777778,0.684444444444444,0.568888888888889,0.568888888888889,0.551111111111111,0.36]",30.2715378,-97.7539673
65,lamar_airport," 25,18,8,6,11,24,95,142,146,133,120,117,130,163,146,133,181,154,149,82,63,65,50,39 ","[0.138121546961326,0.0994475138121547,0.0441988950276243,0.0331491712707182,0.0607734806629834,0.132596685082873,0.524861878453039,0.784530386740331,0.806629834254144,0.734806629834254,0.662983425414365,0.646408839779006,0.718232044198895,0.900552486187845,0.806629834254144,0.734806629834254,1,0.850828729281768,0.823204419889503,0.453038674033149,0.348066298342541,0.359116022099448,0.276243093922652,0.215469613259669]",30.3376293,-97.7188721
