FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
11,7th_shady," 15,10,10,8,9,17,30,38,46,56,62,92,86,82,61,55,67,68,59,43,43,43,27,26 ","[0.16304347826087,0.108695652173913,0.108695652173913,0.0869565217391304,0.0978260869565217,0.184782608695652,0.326086956521739,0.41304347826087,0.5,0.608695652173913,0.673913043478261,1,0.934782608695652,0.891304347826087,0.66304347826087,0.597826086956522,0.728260869565217,0.739130434782609,0.641304347826087,0.467391304347826,0.467391304347826,0.467391304347826,0.293478260869565,0.282608695652174]",30.2533531,-97.6975708
12,anderson_mill_bethany," 20,15,12,9,2,7,28,57,75,100,127,128,122,100,95,99,103,92,92,57,62,65,48,37 ","[0.15625,0.1171875,0.09375,0.0703125,0.015625,0.0546875,0.21875,0.4453125,0.5859375,0.78125,0.9921875,1,0.953125,0.78125,0.7421875,0.7734375,0.8046875,0.71875,0.71875,0.4453125,0.484375,0.5078125,0.375,0.2890625]",30.4469604,-97.7977066
13,anderson_mill_spicewood_parkway," 17,12,14,5,2,9,22,56,65,96,106,114,112,109,116,109,110,94,102,65,59,57,54,35 ","[0.146551724137931,0.103448275862069,0.120689655172414,0.0431034482758621,0.0172413793103448,0.0775862068965517,0.189655172413793,0.482758620689655,0.560344827586207,0.827586206896552,0.913793103448276,0.982758620689655,0.96551724137931,0.939655172413793,1,0.939655172413793,0.948275862068966,0.810344827586207,0.879310344827586,0.560344827586207,0.508620689655172,0.491379310344828,0.46551724137931,0.301724137931034]",30.4471569,-97.8072357
14,bartonsprings_robertelee," 22,16,10,9,6,8,13,37,54,105,104,122,139,145,158,136,131,121,128,119,87,48,55,54 ","[0.139240506329114,0.10126582278481,0.0632911392405063,0.0569620253164557,0.0379746835443038,0.0506329113924051,0.0822784810126582,0.234177215189873,0.341772151898734,0.664556962025316,0.658227848101266,0.772151898734177,0.879746835443038,0.917721518987342,1,0.860759493670886,0.829113924050633,0.765822784810127,0.810126582278481,0.753164556962025,0.550632911392405,0.30379746835443,0.348101265822785,0.341772151898734]",30.2647686,-97.7649841
15,benWhite_riverside," 43,18,28,26,20,38,109,86,117,106,128,133,159,147,134,156,151,121,123,109,112,110,93,72 ","[0.270440251572327,0.113207547169811,0.176100628930818,0.163522012578616,0.125786163522013,0.238993710691824,0.685534591194969,0.540880503144654,0.735849056603774,0.666666666666667,0.805031446540881,0.836477987421384,1,0.924528301886792,0.842767295597484,0.981132075471698,0.949685534591195,0.761006289308176,0.773584905660377,0.685534591194969,0.70440251572327,0.691823899371069,0.584905660377358,0.452830188679245]",30.21883,-97.69118
16,burleson_emma_browning," 8,4,4,6,2,13,34,45,38,65,49,58,56,36,52,55,54,53,35,51,33,42,28,28 ","[0.123076923076923,0.0615384615384615,0.0615384615384615,0.0923076923076923,0.0307692307692308,0.2,0.523076923076923,0.692307692307692,0.584615384615385,1,0.753846153846154,0.892307692307692,0.861538461538462,0.553846153846154,0.8,0.846153846153846,0.830769230769231,0.815384615384615,0.538461538461538,0.784615384615385,0.507692307692308,0.646153846153846,0.430769230769231,0.430769230769231]",30.1731625,-97.6705399
17,burnet_45th," 18,10,6,1,3,8,18,45,74,91,121,117,135,157,118,109,84,87,87,79,76,68,47,25 ","[0.114649681528662,0.0636942675159236,0.0382165605095541,0.00636942675159236,0.0191082802547771,0.0509554140127389,0.114649681528662,0.286624203821656,0.471337579617834,0.579617834394904,0.770700636942675,0.745222929936306,0.859872611464968,1,0.751592356687898,0.694267515923567,0.535031847133758,0.554140127388535,0.554140127388535,0.503184713375796,0.484076433121019,0.43312101910828,0.299363057324841,0.159235668789809]",30.3154011,-97.7415695
18,burnet_anderson," 27,15,10,6,9,14,31,70,113,154,179,168,180,200,191,178,195,143,129,123,94,90,79,44 ","[0.135,0.075,0.05,0.03,0.045,0.07,0.155,0.35,0.565,0.77,0.895,0.84,0.9,1,0.955,0.89,0.975,0.715,0.645,0.615,0.47,0.45,0.395,0.22]",30.3561535,-97.730896
19,burnet_duval_loop1," 29,31,32,22,12,16,32,57,54,95,102,123,126,141,132,137,117,109,105,120,109,99,58,53 ","[0.205673758865248,0.219858156028369,0.226950354609929,0.156028368794326,0.0851063829787234,0.113475177304965,0.226950354609929,0.404255319148936,0.382978723404255,0.673758865248227,0.723404255319149,0.872340425531915,0.893617021276596,1,0.936170212765957,0.971631205673759,0.829787234042553,0.773049645390071,0.74468085106383,0.851063829787234,0.773049645390071,0.702127659574468,0.411347517730496,0.375886524822695]",30.4078178,-97.7158508
20,burnet_gault," 21,22,10,13,15,15,22,30,38,66,76,93,103,105,101,98,92,83,72,96,91,73,50,40 ","[0.2,0.20952380952381,0.0952380952380952,0.123809523809524,0.142857142857143,0.142857142857143,0.20952380952381,0.285714285714286,0.361904761904762,0.628571428571429,0.723809523809524,0.885714285714286,0.980952380952381,1,0.961904761904762,0.933333333333333,0.876190476190476,0.79047619047619,0.685714285714286,0.914285714285714,0.866666666666667,0.695238095238095,0.476190476190476,0.380952380952381]",30.4049339,-97.7160492
21,burnet_koenig," 24,19,12,10,7,16,22,69,109,148,176,185,199,218,200,188,171,170,163,135,91,102,81,43 ","[0.110091743119266,0.0871559633027523,0.055045871559633,0.0458715596330275,0.0321100917431193,0.073394495412844,0.100917431192661,0.31651376146789,0.5,0.678899082568807,0.807339449541284,0.848623853211009,0.912844036697248,1,0.917431192660551,0.862385321100917,0.784403669724771,0.779816513761468,0.747706422018349,0.619266055045872,0.41743119266055,0.467889908256881,0.371559633027523,0.197247706422018]",30.3348522,-97.7398224
22,burnet_us183," 64,39,32,25,19,35,72,143,148,192,192,253,207,249,246,221,210,165,194,165,160,144,130,94 ","[0.25296442687747,0.154150197628458,0.126482213438735,0.0988142292490119,0.075098814229249,0.138339920948617,0.284584980237154,0.565217391304348,0.58498023715415,0.758893280632411,0.758893280632411,1,0.818181818181818,0.984189723320158,0.972332015810277,0.873517786561265,0.8300395256917,0.652173913043478,0.766798418972332,0.652173913043478,0.632411067193676,0.569169960474308,0.513833992094862,0.371541501976285]",30.3728848,-97.7264786
